cluster,gene,,,,,,,,,
1,Potential_gene_1:232..441_210_bp,,,,,,,,,
6,Potential_gene_1:7..708_702_bp,Potential_gene_8:7954..8655_702_bp,Potential_gene_1:750..1451_702_bp,Potential_gene_4:4632..5333_702_bp,Potential_gene_37:38585..39286_702_bp,Potential_gene_2:1306..2007_702_bp,,,,
3,Potential_gene_40:37845..38348_504_bp,Potential_gene_30:28316..28819_504_bp,Potential_gene_2:1388..1891_504_bp,,,,,,,
2,Potential_gene_14:11200..11490_291_bp,Potential_gene_33:31448..31738_291_bp,,,,,,,,
2,Potential_gene_20:18389..18916_528_bp,Potential_gene_10:8860..9387_528_bp,,,,,,,,
8,Potential_gene_11:7494..8558_1065_bp,Potential_gene_3:2000..3064_1065_bp,Potential_gene_10:7494..8558_1065_bp,Potential_gene_6:4438..5502_1065_bp,Potential_gene_7:5489..6553_1065_bp,Potential_gene_10:8663..9727_1065_bp,Potential_gene_6:3779..4843_1065_bp,Potential_gene_5:3192..4256_1065_bp,,
1,Potential_gene_24:22052..22240_189_bp,,,,,,,,,
4,Potential_gene_5:4053..4334_282_bp,Potential_gene_4:1925..2206_282_bp,Potential_gene_4:3026..3307_282_bp,Potential_gene_3:2258..2539_282_bp,,,,,,
3,Potential_gene_8:7399..8220_822_bp,Potential_gene_33:31689..32510_822_bp,Potential_gene_23:22160..22981_822_bp,,,,,,,
4,Potential_gene_4:2000..2374_375_bp,Potential_gene_5:3168..3542_375_bp,Potential_gene_3:1127..1501_375_bp,Potential_gene_5:2801..3175_375_bp,,,,,,
2,Potential_gene_9:8945..9139_195_bp,Potential_gene_1:3..197_195_bp,,,,,,,,
3,Potential_gene_17:15084..16238_1155_bp,Potential_gene_17:13915..15069_1155_bp,Potential_gene_18:13915..15069_1155_bp,,,,,,,
1,Potential_gene_1:416..616_201_bp,,,,,,,,,
4,Potential_gene_9:6278..7210_933_bp,Potential_gene_1:12..944_933_bp,Potential_gene_121:116588..117520_933_bp,Potential_gene_9:5673..6605_933_bp,,,,,,
2,Potential_gene_2:1054..1305_252_bp,Potential_gene_1:121..372_252_bp,,,,,,,,
1,Potential_gene_65:50185..50670_486_bp,,,,,,,,,
3,Potential_gene_6:4199..6382_2184_bp,Potential_gene_25:25261..27444_2184_bp,Potential_gene_26:25261..27444_2184_bp,,,,,,,
2,Potential_gene_44:51822..52988_1167_bp,Potential_gene_32:33834..35000_1167_bp,,,,,,,,
3,Potential_gene_25:23233..23574_342_bp,Potential_gene_24:24402..24743_342_bp,Potential_gene_4:3340..3681_342_bp,,,,,,,
3,Potential_gene_49:46956..48011_1056_bp,Potential_gene_39:37427..38482_1056_bp,Potential_gene_12:11676..12731_1056_bp,,,,,,,
2,Potential_gene_6:2636..3928_1293_bp,Potential_gene_11:4523..5815_1293_bp,,,,,,,,
2,Potential_gene_12:11581..12915_1335_bp,Potential_gene_12:11214..12548_1335_bp,,,,,,,,
4,Potential_gene_30:30230..30394_165_bp,Potential_gene_22:21288..21452_165_bp,Potential_gene_29:30226..30390_165_bp,Potential_gene_21:21284..21448_165_bp,,,,,,
1,Potential_gene_20:20340..20990_651_bp,,,,,,,,,
3,Potential_gene_3:783..1553_771_bp,Potential_gene_4:2000..2770_771_bp,Potential_gene_6:2782..3552_771_bp,,,,,,,
1,Potential_gene_41:46390..46686_297_bp,,,,,,,,,
2,Potential_gene_10:10483..11241_759_bp,Potential_gene_27:27369..28127_759_bp,,,,,,,,
4,Potential_gene_56:54672..55376_705_bp,Potential_gene_4:3143..3847_705_bp,Potential_gene_6:5232..5936_705_bp,Potential_gene_3:3143..3847_705_bp,,,,,,
1,Potential_gene_67:64206..64865_660_bp,,,,,,,,,
1,Potential_gene_2:1701..1934_234_bp,,,,,,,,,
