locus_tag	ftype	length_bp	gene	EC_number	COG	product
DDBEDCGG_00001	gene	687	ywqD			
DDBEDCGG_00001	CDS	687	ywqD	2.7.10.2	COG0489	Tyrosine-protein kinase YwqD
DDBEDCGG_00002	gene	669	cap8A			
DDBEDCGG_00002	CDS	669	cap8A		COG3944	Capsular polysaccharide type 8 biosynthesis protein cap8A
DDBEDCGG_00003	gene	2610	adhE			
DDBEDCGG_00003	CDS	2610	adhE		COG1012	Aldehyde-alcohol dehydrogenase
DDBEDCGG_00004	gene	222				
DDBEDCGG_00004	CDS	222				IS200/IS605 family transposase ISSep3
DDBEDCGG_00005	gene	327				
DDBEDCGG_00005	CDS	327				hypothetical protein
DDBEDCGG_00006	gene	291	repE			
DDBEDCGG_00006	CDS	291	repE			Replication initiation protein
DDBEDCGG_00007	gene	546	repN			
DDBEDCGG_00007	CDS	546	repN			Replication initiation protein
DDBEDCGG_00008	gene	195				
DDBEDCGG_00008	CDS	195				hypothetical protein
DDBEDCGG_00009	gene	348				
DDBEDCGG_00009	CDS	348				hypothetical protein
