locus_tag	ftype	length_bp	gene	EC_number	COG	product
AMJMGKGB_00001	gene	573				
AMJMGKGB_00001	CDS	573				hypothetical protein
AMJMGKGB_00002	gene	726	menG			
AMJMGKGB_00002	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
AMJMGKGB_00003	gene	945	hepT			
AMJMGKGB_00003	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
AMJMGKGB_00004	gene	450	ndk			
AMJMGKGB_00004	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
AMJMGKGB_00005	gene	201				
AMJMGKGB_00005	CDS	201				hypothetical protein
AMJMGKGB_00006	gene	1167	aroC			
AMJMGKGB_00006	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
AMJMGKGB_00007	gene	1065	aroB			
AMJMGKGB_00007	CDS	1065	aroB	4.2.3.4		3-dehydroquinate synthase
AMJMGKGB_00008	gene	1299	aroA			
AMJMGKGB_00008	CDS	1299	aroA	2.5.1.19		3-phosphoshikimate 1-carboxyvinyltransferase
AMJMGKGB_00009	gene	1245	bepA			
AMJMGKGB_00009	CDS	1245	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
AMJMGKGB_00010	gene	588				
AMJMGKGB_00010	CDS	588				hypothetical protein
