locus_tag	ftype	length_bp	gene	EC_number	COG	product
FHBPMMBH_00001	gene	1293	asnS			
FHBPMMBH_00001	CDS	1293	asnS	6.1.1.22		Asparagine--tRNA ligase
FHBPMMBH_00002	gene	687	dnaD			
FHBPMMBH_00002	CDS	687	dnaD		COG3935	DNA replication protein DnaD
FHBPMMBH_00003	gene	660	nth			
FHBPMMBH_00003	CDS	660	nth	4.2.99.18	COG0177	Endonuclease III
FHBPMMBH_00004	gene	342				
FHBPMMBH_00004	CDS	342				hypothetical protein
FHBPMMBH_00005	gene	2184	ponA			
FHBPMMBH_00005	CDS	2184	ponA		COG0744	Penicillin-binding protein 1A/1B
FHBPMMBH_00006	gene	678	recU			
FHBPMMBH_00006	CDS	678	recU	3.1.22.4		Holliday junction resolvase RecU
FHBPMMBH_00007	gene	402				
FHBPMMBH_00007	CDS	402				hypothetical protein
FHBPMMBH_00008	gene	564				
FHBPMMBH_00008	CDS	564				hypothetical protein
FHBPMMBH_00009	gene	393	gpsB			
FHBPMMBH_00009	CDS	393	gpsB			Cell cycle protein GpsB
