locus_tag	ftype	length_bp	gene	EC_number	COG	product
KDAPJLLE_00001	gene	768	ywlC			
KDAPJLLE_00001	CDS	768	ywlC	2.7.7.87	COG0009	Threonylcarbamoyl-AMP synthase
KDAPJLLE_00002	gene	420	ptpB			
KDAPJLLE_00002	CDS	420	ptpB	3.1.3.48	COG0394	Low molecular weight protein-tyrosine-phosphatase PtpB
KDAPJLLE_00003	gene	525				
KDAPJLLE_00003	CDS	525				hypothetical protein
KDAPJLLE_00004	gene	1239	glyA			
KDAPJLLE_00004	CDS	1239	glyA	2.1.2.1		Serine hydroxymethyltransferase
KDAPJLLE_00005	gene	630	upp			
KDAPJLLE_00005	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
KDAPJLLE_00006	gene	1128	mnaA			
KDAPJLLE_00006	CDS	1128	mnaA	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
KDAPJLLE_00007	gene	387				
KDAPJLLE_00007	CDS	387				hypothetical protein
KDAPJLLE_00008	gene	729	atpB			
KDAPJLLE_00008	CDS	729	atpB			ATP synthase subunit a
KDAPJLLE_00009	gene	213	atpE			
KDAPJLLE_00009	CDS	213	atpE			ATP synthase subunit c
KDAPJLLE_00010	gene	522	atpF			
KDAPJLLE_00010	CDS	522	atpF			ATP synthase subunit b
KDAPJLLE_00011	gene	540	atpH			
KDAPJLLE_00011	CDS	540	atpH			ATP synthase subunit delta
KDAPJLLE_00012	gene	1509	atpA			
KDAPJLLE_00012	CDS	1509	atpA	7.1.2.2		ATP synthase subunit alpha
KDAPJLLE_00013	gene	867	atpG			
KDAPJLLE_00013	CDS	867	atpG			ATP synthase gamma chain
