locus_tag	ftype	length_bp	gene	EC_number	COG	product
AOKLCGBP_00001	gene	792				
AOKLCGBP_00001	CDS	792				hypothetical protein
AOKLCGBP_00002	gene	705	yydK			
AOKLCGBP_00002	CDS	705	yydK		COG2188	putative HTH-type transcriptional regulator YydK
AOKLCGBP_00003	gene	2292				
AOKLCGBP_00003	CDS	2292				hypothetical protein
AOKLCGBP_00004	gene	702	lrgB			
AOKLCGBP_00004	CDS	702	lrgB		COG1346	Antiholin-like protein LrgB
AOKLCGBP_00005	gene	444	lrgA			
AOKLCGBP_00005	CDS	444	lrgA		COG1380	Antiholin-like protein LrgA
AOKLCGBP_00006	gene	741	lytR			
AOKLCGBP_00006	CDS	741	lytR		COG3279	Sensory transduction protein LytR
AOKLCGBP_00007	gene	1740	ypdA			
AOKLCGBP_00007	CDS	1740	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
AOKLCGBP_00008	gene	675	scdA			
AOKLCGBP_00008	CDS	675	scdA		COG2846	Iron-sulfur cluster repair protein ScdA
AOKLCGBP_00009	gene	1722	tarS			
AOKLCGBP_00009	CDS	1722	tarS	2.4.1.355		Poly(ribitol-phosphate) beta-N-acetylglucosaminyltransferase TarS
