locus_tag	ftype	length_bp	gene	EC_number	COG	product
LBIPJCMD_00001	gene	837				
LBIPJCMD_00001	CDS	837				hypothetical protein
LBIPJCMD_00002	gene	360				
LBIPJCMD_00002	CDS	360				hypothetical protein
LBIPJCMD_00003	gene	330				
LBIPJCMD_00003	CDS	330				hypothetical protein
LBIPJCMD_00004	gene	966				
LBIPJCMD_00004	CDS	966				hypothetical protein
LBIPJCMD_00005	gene	171				
LBIPJCMD_00005	CDS	171				hypothetical protein
LBIPJCMD_00006	gene	621				
LBIPJCMD_00006	CDS	621				hypothetical protein
LBIPJCMD_00007	gene	372				
LBIPJCMD_00007	CDS	372				hypothetical protein
LBIPJCMD_00008	gene	138				
LBIPJCMD_00008	CDS	138				hypothetical protein
LBIPJCMD_00009	gene	1005	gloB			
LBIPJCMD_00009	CDS	1005	gloB	3.1.2.6		Hydroxyacylglutathione hydrolase
LBIPJCMD_00010	gene	1491				
LBIPJCMD_00010	CDS	1491				hypothetical protein
LBIPJCMD_00011	gene	1092				
LBIPJCMD_00011	CDS	1092				hypothetical protein
LBIPJCMD_00012	gene	291				
LBIPJCMD_00012	CDS	291				hypothetical protein
