locus_tag	ftype	length_bp	gene	EC_number	COG	product
LNHEDDDO_00001	gene	573				
LNHEDDDO_00001	CDS	573				hypothetical protein
LNHEDDDO_00002	gene	726	menG			
LNHEDDDO_00002	CDS	726	menG	2.1.1.163		Demethylmenaquinone methyltransferase
LNHEDDDO_00003	gene	945	hepT			
LNHEDDDO_00003	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
LNHEDDDO_00004	gene	450	ndk			
LNHEDDDO_00004	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
LNHEDDDO_00005	gene	201				
LNHEDDDO_00005	CDS	201				hypothetical protein
LNHEDDDO_00006	gene	1167	aroC			
LNHEDDDO_00006	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
