locus_tag	ftype	length_bp	gene	EC_number	COG	product
NPBCENDG_00001	gene	444				
NPBCENDG_00001	CDS	444		3.4.-.-		putative peptidase
NPBCENDG_00002	gene	558	efp			
NPBCENDG_00002	CDS	558	efp			Elongation factor P
NPBCENDG_00003	gene	465	accB			
NPBCENDG_00003	CDS	465	accB		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
NPBCENDG_00004	gene	1356	cfiB			
NPBCENDG_00004	CDS	1356	cfiB	6.4.1.7	COG0439	2-oxoglutarate carboxylase small subunit
NPBCENDG_00005	gene	363				
NPBCENDG_00005	CDS	363				putative protein
NPBCENDG_00006	gene	390	nusB			
NPBCENDG_00006	CDS	390	nusB			Transcription antitermination protein NusB
NPBCENDG_00007	gene	561				
NPBCENDG_00007	CDS	561				hypothetical protein
