locus_tag	ftype	length_bp	gene	EC_number	COG	product
MOBHADPN_00001	gene	285	menG			
MOBHADPN_00001	CDS	285	menG	2.1.1.163		Demethylmenaquinone methyltransferase
MOBHADPN_00002	gene	945	hepT			
MOBHADPN_00002	CDS	945	hepT	2.5.1.30	COG0142	Heptaprenyl diphosphate synthase component 2
MOBHADPN_00003	gene	450	ndk			
MOBHADPN_00003	CDS	450	ndk	2.7.4.6		Nucleoside diphosphate kinase
MOBHADPN_00004	gene	201				
MOBHADPN_00004	CDS	201				hypothetical protein
MOBHADPN_00005	gene	1167	aroC			
MOBHADPN_00005	CDS	1167	aroC	4.2.3.5	COG0082	Chorismate synthase
