locus_tag	ftype	length_bp	gene	EC_number	COG	product
AGMHEKLN_00001	gene	792				
AGMHEKLN_00001	CDS	792				hypothetical protein
AGMHEKLN_00002	gene	705	yydK			
AGMHEKLN_00002	CDS	705	yydK		COG2188	putative HTH-type transcriptional regulator YydK
AGMHEKLN_00003	gene	2292				
AGMHEKLN_00003	CDS	2292				hypothetical protein
AGMHEKLN_00004	gene	702	lrgB			
AGMHEKLN_00004	CDS	702	lrgB		COG1346	Antiholin-like protein LrgB
AGMHEKLN_00005	gene	438	lrgA			
AGMHEKLN_00005	CDS	438	lrgA		COG1380	Antiholin-like protein LrgA
AGMHEKLN_00006	gene	345	lytR			
AGMHEKLN_00006	CDS	345	lytR		COG3279	Sensory transduction protein LytR
