locus_tag	ftype	length_bp	gene	EC_number	COG	product
GGDNMJNA_00001	gene	630	upp			
GGDNMJNA_00001	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
GGDNMJNA_00002	gene	1128	mnaA			
GGDNMJNA_00002	CDS	1128	mnaA	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
GGDNMJNA_00003	gene	387				
GGDNMJNA_00003	CDS	387				hypothetical protein
GGDNMJNA_00004	gene	729	atpB			
GGDNMJNA_00004	CDS	729	atpB			ATP synthase subunit a
GGDNMJNA_00005	gene	213	atpE			
GGDNMJNA_00005	CDS	213	atpE			ATP synthase subunit c
GGDNMJNA_00006	gene	522	atpF			
GGDNMJNA_00006	CDS	522	atpF			ATP synthase subunit b
GGDNMJNA_00007	gene	540	atpH			
GGDNMJNA_00007	CDS	540	atpH			ATP synthase subunit delta
GGDNMJNA_00008	gene	330				
GGDNMJNA_00008	CDS	330				hypothetical protein
